,Date,NOAA No,Location,Lo,Area,Zpc,LL,NN,Mag,N_Bflare,N_Cflare,N_Mflare,N_Xflare
0,2012-01-02,1386,S18W44,149,60,Hsx,2,3,Alpha,0.0,0.0,0.0,0.0
1,2012-01-02,1388,S24E02,102,80,Hsx,2,1,Alpha,0.0,0.0,0.0,0.0
2,2012-01-02,1389,S22E17,86,420,Fko,16,16,Beta,0.0,1.0,0.0,0.0
0,2012-01-03,1386,S17W57,147,50,Hsx,2,1,Alpha,0.0,0.0,0.0,0.0
1,2012-01-03,1388,S24W14,104,60,Hsx,2,1,Alpha,0.0,0.0,0.0,0.0
2,2012-01-03,1389,S22E08,83,330,Fkc,16,21,Beta-Gamma,1.0,2.0,0.0,0.0
3,2012-01-03,1390,N10W29,120,10,Bxo,5,9,Beta,0.0,0.0,0.0,0.0
4,2012-01-03,1391,N13E81,10,120,Hsx,9,1,Alpha,0.0,0.0,0.0,0.0
0,2012-01-04,1386,S18W69,147,70,Hsx,3,1,Alpha,0.0,0.0,0.0,0.0
1,2012-01-04,1388,S23W24,101,60,Hsx,5,1,Alpha,0.0,0.0,0.0,0.0
2,2012-01-04,1389,S22W04,81,240,Eso,14,20,Beta,2.0,0.0,0.0,0.0
3,2012-01-04,1390,N10W42,120,30,Dro,6,9,Beta,0.0,0.0,0.0,0.0
4,2012-01-04,1391,N12E65,12,240,Hsx,3,1,Alpha,1.0,0.0,0.0,0.0
5,2012-01-04,1392,N20E09,68,10,Bxo,4,3,Beta,0.0,0.0,0.0,0.0
0,2012-01-05,1386,S17W87,150,30,Hsx,3,1,Alpha,0.0,1.0,0.0,0.0
1,2012-01-05,1388,S24W36,100,60,Cao,2,1,Beta,0.0,0.0,0.0,0.0
2,2012-01-05,1389,S22W16,81,280,Fko,16,14,Beta,0.0,0.0,0.0,0.0
3,2012-01-05,1390,N10W58,122,70,Cai,9,16,Beta,1.0,0.0,0.0,0.0
4,2012-01-05,1391,N12E54,10,510,Cho,8,4,Beta,0.0,0.0,0.0,0.0
5,2012-01-05,1392,N20W04,69,10,Bxo,6,5,Beta,0.0,1.0,0.0,0.0
0,2012-01-06,1388,S26W48,99,50,Hsx,1,1,Alpha,0.0,0.0,0.0,0.0
1,2012-01-06,1389,S23W29,80,200,Cao,3,5,Beta,0.0,0.0,0.0,0.0
2,2012-01-06,1390,N09W71,122,170,Dao,9,12,Beta,0.0,1.0,0.0,0.0
3,2012-01-06,1391,N13E40,11,420,Dho,9,10,Beta,0.0,0.0,0.0,0.0
4,2012-01-06,1392,N21W19,70,10,Bxo,3,2,Beta,0.0,1.0,0.0,0.0
5,2012-01-06,1393,N18W03,54,40,Dao,6,9,Beta,0.0,0.0,0.0,0.0
0,2012-01-07,1388,S26W61,99,60,Hsx,2,1,Alpha,0.0,0.0,0.0,0.0
1,2012-01-07,1389,S21W45,83,230,Cao,11,3,Beta,0.0,1.0,0.0,0.0
2,2012-01-07,1390,N08W84,122,210,Dao,10,8,Beta,0.0,1.0,0.0,0.0
3,2012-01-07,1391,N13E28,10,420,Dki,10,19,Beta,0.0,0.0,0.0,0.0
4,2012-01-07,1392,N19W32,70,40,Dao,6,8,Beta,0.0,2.0,0.0,0.0
5,2012-01-07,1393,N17W16,54,30,Cro,4,7,Beta,0.0,0.0,0.0,0.0
6,2012-01-07,1394,N18E42,356,10,Axx,6,2,Alpha,0.0,0.0,0.0,0.0
0,2012-01-08,1388,S24W73,98,50,Cso,4,2,Beta,0.0,0.0,0.0,0.0
1,2012-01-08,1389,S21W61,86,210,Hsx,2,1,Alpha,0.0,0.0,0.0,0.0
2,2012-01-08,1391,N13E14,10,370,Dko,9,12,Beta,0.0,0.0,0.0,0.0
3,2012-01-08,1392,N19W46,71,50,Dao,7,5,Beta,0.0,0.0,0.0,0.0
4,2012-01-08,1393,N16W30,54,100,Dao,5,10,Beta,0.0,0.0,0.0,0.0
5,2012-01-08,1394,N18E26,358,10,Bxo,3,2,Beta,0.0,0.0,0.0,0.0
0,2012-01-09,1388,S26W92,101,30,Hsx,1,1,Alpha,0.0,0.0,0.0,0.0
1,2012-01-09,1389,S20W75,86,180,Hsx,4,1,Alpha,0.0,3.0,0.0,0.0
2,2012-01-09,1391,N13W00,10,300,Dko,10,12,Beta,0.0,0.0,0.0,0.0
3,2012-01-09,1392,N19W58,69,20,Cso,3,2,Beta,0.0,0.0,0.0,0.0
4,2012-01-09,1393,N16W45,56,250,Dki,8,13,Beta,1.0,2.0,0.0,0.0
5,2012-01-09,1395,N22E59,312,120,Hsx,3,1,Alpha,0.0,0.0,0.0,0.0
0,2012-01-10,1389,S19W88,87,210,Hsx,2,1,Alpha,0.0,0.0,0.0,0.0
1,2012-01-10,1391,N12W12,11,280,Dsc,10,22,Beta-Gamma,0.0,2.0,0.0,0.0
2,2012-01-10,1392,N18W68,66,10,Axx,1,1,Alpha,0.0,0.0,0.0,0.0
3,2012-01-10,1393,N15W57,56,520,Eki,11,15,Beta-Gamma,0.0,1.0,0.0,0.0
4,2012-01-10,1395,N22E48,311,160,Hsx,2,1,Alpha,0.0,1.0,0.0,0.0
0,2012-01-11,1391,N12W25,11,270,Dki,10,22,Beta,1.0,1.0,0.0,0.0
1,2012-01-11,1393,N17W70,56,530,Eki,12,8,Beta-Gamma,0.0,1.0,0.0,0.0
2,2012-01-11,1395,N22E35,311,180,Cao,3,3,Beta,0.0,0.0,0.0,0.0
0,2012-01-12,1391,N12W37,10,270,Ekc,12,20,Beta,0.0,0.0,0.0,0.0
1,2012-01-12,1393,N16W84,57,560,Eko,13,10,Beta,1.0,3.0,0.0,0.0
2,2012-01-12,1395,N21E21,312,90,Hsx,2,4,Alpha,0.0,2.0,0.0,0.0
0,2012-01-13,1391,N12W51,11,180,Cao,9,11,Beta,0.0,0.0,0.0,0.0
1,2012-01-13,1395,N21E07,313,70,Hsx,1,2,Alpha,0.0,1.0,0.0,0.0
2,2012-01-13,1396,N25E32,287,10,Bxo,3,2,Beta,0.0,0.0,0.0,0.0
0,2012-01-14,1391,N12W67,14,120,Dao,6,11,Beta,0.0,1.0,0.0,0.0
1,2012-01-14,1395,N21W06,312,40,Hsx,2,2,Alpha,0.0,0.0,0.0,0.0
2,2012-01-14,1396,N26E18,288,70,Dai,5,10,Beta,0.0,0.0,0.0,0.0
3,2012-01-14,1397,S20E28,277,40,Dao,3,4,Beta,0.0,0.0,0.0,0.0
4,2012-01-14,1398,N13W08,314,15,Dao,3,4,Beta,0.0,0.0,0.0,0.0
0,2012-01-15,1391,N12W80,13,120,Dao,5,9,Beta,0.0,0.0,0.0,0.0
1,2012-01-15,1395,N21W18,311,20,Hsx,2,2,Alpha,0.0,0.0,0.0,0.0
2,2012-01-15,1396,N27E06,287,110,Dao,7,15,Beta,0.0,1.0,0.0,0.0
3,2012-01-15,1397,S20E14,278,30,Dao,5,4,Beta,0.0,0.0,0.0,0.0
4,2012-01-15,1398,N14W22,315,50,Dao,6,13,Beta,0.0,0.0,0.0,0.0
5,2012-01-15,1399,S24E69,224,30,Cao,3,4,Beta,0.0,0.0,0.0,0.0
6,2012-01-15,1400,S14W04,297,10,Cro,3,3,Beta,0.0,0.0,0.0,0.0
7,2012-01-15,1401,N15E73,215,40,Hsx,2,2,Alpha,0.0,4.0,1.0,0.0
8,2012-01-15,1402,N26E75,212,100,Hsx,3,3,Alpha,0.0,0.0,0.0,0.0
0,2012-01-16,1395,N20W31,311,10,Hsx,1,2,Alpha,0.0,0.0,0.0,0.0
1,2012-01-16,1396,N25W07,287,80,Dao,4,10,Beta,0.0,0.0,0.0,0.0
2,2012-01-16,1397,S20E02,278,15,Cao,5,3,Beta,0.0,0.0,0.0,0.0
3,2012-01-16,1398,N12W36,315,50,Dao,6,9,Beta,0.0,0.0,0.0,0.0
4,2012-01-16,1399,S23E54,225,20,Hax,1,2,Alpha,0.0,0.0,0.0,0.0
5,2012-01-16,1400,S13W17,296,10,Cso,2,2,Beta,0.0,0.0,0.0,0.0
