,Date,NOAA No,Location,Lo,Area,Zpc,LL,NN,Mag,N_Bflare,N_Cflare,N_Mflare,N_Xflare
0,2011-01-01,1138,N12W70,324.0,10.0,Bxo,2.0,2.0,Beta,0.0,1.0,0.0,0.0
1,2011-01-01,1140,N32E67,188.0,180.0,Hsx,3.0,1.0,Alpha,1.0,0.0,0.0,0.0
0,2011-01-02,1138,N17W82,323.0,10.0,Axx,5.0,2.0,Alpha,0.0,0.0,0.0,0.0
1,2011-01-02,1139,S30E03,239.0,0.0,Axx,1.0,1.0,Alpha,0.0,0.0,0.0,0.0
2,2011-01-02,1140,N32E52,190.0,200.0,Hsx,4.0,1.0,Alpha,3.0,0.0,0.0,0.0
3,2011-01-02,1141,N35W25,267.0,100.0,Dso,7.0,6.0,Beta,0.0,0.0,0.0,0.0
4,2011-01-02,1142,S14E33,208.0,40.0,Dso,6.0,5.0,Beta,0.0,0.0,0.0,0.0
0,2011-01-03,1140,N32E40,189.0,160.0,Hsx,3.0,1.0,Alpha,4.0,0.0,0.0,0.0
1,2011-01-03,1141,N34W39,268.0,10.0,Bxo,10.0,4.0,Beta,0.0,0.0,0.0,0.0
2,2011-01-03,1142,S12E21,207.0,90.0,Dso,8.0,3.0,Beta,0.0,0.0,0.0,0.0
0,2011-01-04,1140,N32E25,190.0,180.0,Hsx,2.0,1.0,Alpha,0.0,0.0,0.0,0.0
1,2011-01-04,1141,N35W50,265.0,20.0,Bxo,11.0,7.0,Beta,3.0,0.0,0.0,0.0
2,2011-01-04,1142,S13E07,208.0,120.0,Dsi,10.0,13.0,Beta,1.0,1.0,0.0,0.0
0,2011-01-05,1140,N34E14,189.0,210.0,Hsx,4.0,1.0,Alpha,1.0,0.0,0.0,0.0
1,2011-01-05,1141,N35W64,267.0,60.0,Eao,13.0,6.0,Beta,5.0,1.0,0.0,0.0
2,2011-01-05,1142,S12W05,208.0,90.0,Dsi,8.0,17.0,Beta,0.0,0.0,0.0,0.0
0,2011-01-06,1140,N34E01,188.0,190.0,Cso,6.0,3.0,Beta,1.0,0.0,0.0,0.0
1,2011-01-06,1141,N34W76,266.0,20.0,Bxo,12.0,3.0,Beta,1.0,0.0,0.0,0.0
2,2011-01-06,1142,S13W18,208.0,40.0,Cao,8.0,14.0,Beta,0.0,0.0,0.0,0.0
0,2011-01-07,1140,N33W11,188.0,180.0,Hsx,3.0,1.0,Alpha,0.0,0.0,0.0,0.0
1,2011-01-07,1142,S14W32,208.0,50.0,Cso,8.0,7.0,Beta,0.0,0.0,0.0,0.0
0,2011-01-08,1139,S27W74,236.0,10.0,Axx,1.0,3.0,Alpha,1.0,0.0,0.0,0.0
1,2011-01-08,1140,N33W24,187.0,140.0,Cso,2.0,3.0,Beta,0.0,0.0,0.0,0.0
2,2011-01-08,1142,S14W45,208.0,0.0,Axx,1.0,2.0,Alpha,0.0,0.0,0.0,0.0
3,2011-01-08,1143,S22E16,147.0,20.0,Dso,4.0,4.0,Beta,0.0,0.0,0.0,0.0
0,2011-01-09,1139,S29W87,236.0,0.0,Axx,1.0,1.0,Alpha,1.0,0.0,0.0,0.0
