,Date,NOAA No,Location,Lo,Area,Zpc,LL,NN,Mag,N_Bflare,N_Cflare,N_Mflare,N_Xflare
0,2010-01-01,1039,S28W21,54.0,130.0,Dai,6.0,8.0,Beta,0.0,0.0,0.0,0.0
0,2010-01-02,1039,S27W35,54.0,120.0,Dso,9.0,6.0,Beta,0.0,0.0,0.0,0.0
0,2010-01-03,1039,S28W46,52.0,190.0,Dso,8.0,12.0,Beta,3.0,2.0,0.0,0.0
0,2010-01-04,1039,S29W59,52.0,220.0,Dso,7.0,10.0,Beta,9.0,1.0,0.0,0.0
0,2010-01-05,1039,S28W72,52.0,150.0,Dso,7.0,5.0,Beta,4.0,1.0,0.0,0.0
0,2010-01-06,1039,S29W90,56.0,90.0,Dro,5.0,3.0,Beta,2.0,0.0,0.0,0.0
0,2010-01-07,None,,,,,,,,0.0,0.0,0.0,0.0
0,2010-01-08,1040,N28E59,241.0,80.0,Bxo,5.0,5.0,Beta,1.0,0.0,0.0,0.0
0,2010-01-09,1040,N29E47,240.0,40.0,Bxo,3.0,4.0,Beta,1.0,0.0,0.0,0.0
0,2010-01-10,1040,N30E35,239.0,70.0,Cri,10.0,10.0,Beta,5.0,1.0,0.0,0.0
0,2010-01-11,1040,N30E18,243.0,130.0,Eao,15.0,15.0,Beta,3.0,0.0,0.0,0.0
0,2010-01-12,1040,N29E10,237.0,300.0,Dhc,9.0,25.0,Beta,1.0,0.0,0.0,0.0
0,2010-01-13,1040,N28W04,238.0,300.0,Eao,12.0,25.0,Beta,0.0,1.0,0.0,0.0
0,2010-01-14,1040,N28W11,236.0,380.0,Eki,13.0,31.0,Beta,0.0,0.0,0.0,0.0
0,2010-01-15,1040,N28W30,238.0,290.0,Eki,13.0,24.0,Beta,4.0,0.0,0.0,0.0
0,2010-01-16,1040,N29W41,236.0,350.0,Eki,13.0,16.0,Beta,0.0,1.0,0.0,0.0
0,2010-01-17,1040,N29W57,239.0,290.0,Cki,12.0,14.0,Beta,4.0,0.0,0.0,0.0
0,2010-01-18,1040,N30W74,242.0,160.0,Dso,8.0,6.0,Beta,1.0,1.0,0.0,0.0
0,2010-01-19,1040,N26W83,238.0,140.0,Dho,5.0,4.0,Beta,2.0,0.0,0.0,0.0
0,2010-01-20,None,,,,,,,,0.0,0.0,0.0,0.0
0,2010-01-21,1041,S25E77,52.0,60.0,Cso,10.0,6.0,Beta,3.0,9.0,4.0,0.0
0,2010-01-22,1041,S24E61,55.0,190.0,Cao,11.0,7.0,Beta,1.0,3.0,0.0,0.0
0,2010-01-23,1041,S25E50,52.0,200.0,Eso,14.0,7.0,Beta,2.0,0.0,0.0,0.0
1,2010-01-23,1042,N22W28,130.0,40.0,Cso,4.0,3.0,Beta,0.0,0.0,0.0,0.0
0,2010-01-24,1041,S24E35,54.0,190.0,Eai,11.0,9.0,Beta,0.0,0.0,0.0,0.0
1,2010-01-24,1042,N22W42,131.0,190.0,Cao,7.0,11.0,Beta,2.0,0.0,0.0,0.0
0,2010-01-25,1041,S24E23,53.0,170.0,Dsi,9.0,7.0,Beta,0.0,0.0,0.0,0.0
1,2010-01-25,1042,N21W56,132.0,160.0,Dai,6.0,5.0,Beta,2.0,0.0,0.0,0.0
0,2010-01-26,1041,S25E12,52.0,50.0,Cai,11.0,11.0,Beta,0.0,0.0,0.0,0.0
1,2010-01-26,1042,N18W73,137.0,50.0,Cro,3.0,3.0,Beta,0.0,0.0,0.0,0.0
0,2010-01-27,1041,S24W03,53.0,60.0,Dso,4.0,7.0,Beta,0.0,0.0,0.0,0.0
1,2010-01-27,1042,N18W86,136.0,90.0,Hsx,5.0,1.0,Alpha,7.0,0.0,0.0,0.0
0,2010-01-28,1041,S25W16,53.0,40.0,Cso,4.0,5.0,Beta,3.0,0.0,0.0,0.0
0,2010-01-29,1041,S26W32,55.0,30.0,Hsx,2.0,3.0,Alpha,1.0,0.0,0.0,0.0
0,2010-01-30,1041,S27W42,52.0,20.0,Bxo,2.0,2.0,Beta,0.0,0.0,0.0,0.0
0,2010-01-31,1041,S27W58,55.0,10.0,Axx,1.0,1.0,Alpha,0.0,0.0,0.0,0.0
1,2010-01-31,1043,N27E35,322.0,40.0,Bxo,3.0,4.0,Beta,0.0,0.0,0.0,0.0
0,2010-02-01,1043,N25E24,320.0,60.0,Dso,5.0,4.0,Beta,2.0,0.0,0.0,0.0
0,2010-02-02,1043,N25E10,321.0,70.0,Cso,7.0,6.0,Beta,1.0,0.0,0.0,0.0
0,2010-02-03,1043,N25W05,322.0,50.0,Hsx,1.0,1.0,Alpha,0.0,0.0,0.0,0.0
0,2010-02-04,1043,N25W18,322.0,50.0,Hsx,6.0,1.0,Alpha,0.0,0.0,0.0,0.0
0,2010-02-05,1043,N26W33,324.0,20.0,Hsx,1.0,1.0,Alpha,0.0,0.0,0.0,0.0
0,2010-02-06,1043,N24W50,328.0,20.0,Hax,1.0,1.0,Alpha,0.0,0.0,0.0,0.0
1,2010-02-06,1044,N18W36,314.0,10.0,Axx,1.0,1.0,Alpha,1.0,0.0,0.0,0.0
0,2010-02-07,1043,N25W62,327.0,20.0,Axx,1.0,1.0,Alpha,0.0,0.0,0.0,0.0
1,2010-02-07,1045,N24E15,250.0,290.0,Dkc,8.0,9.0,Beta-Gamma,1.0,3.0,2.0,0.0
0,2010-02-08,1043,N23W73,325.0,10.0,Axx,1.0,1.0,Alpha,0.0,0.0,0.0,0.0
1,2010-02-08,1045,N23W01,253.0,320.0,Fkc,19.0,18.0,Beta-Gamma,3.0,5.0,1.0,0.0
2,2010-02-08,1046,N25E65,187.0,30.0,Bxo,4.0,2.0,Beta,0.0,0.0,0.0,0.0
0,2010-02-09,1045,N23W17,256.0,420.0,Fkc,20.0,35.0,Beta-Gamma-Delta,9.0,18.0,4.0,0.0
1,2010-02-09,1046,N24E52,186.0,30.0,Bxo,10.0,4.0,Beta,0.0,0.0,0.0,0.0
2,2010-02-09,1047,S15E70,169.0,10.0,Axx,2.0,2.0,Alpha,0.0,0.0,0.0,0.0
0,2010-02-10,1045,N23W26,252.0,300.0,Fkc,19.0,25.0,Beta-Gamma-Delta,2.0,2.0,0.0,0.0
1,2010-02-10,1046,N24E42,184.0,10.0,Bxo,11.0,7.0,Beta,0.0,0.0,0.0,0.0
2,2010-02-10,1047,S17E61,165.0,10.0,Axx,1.0,1.0,Alpha,0.0,0.0,0.0,0.0
0,2010-02-11,1045,N22W39,252.0,240.0,Fai,17.0,16.0,Beta,2.0,2.0,0.0,0.0
1,2010-02-11,1046,N24E28,185.0,130.0,Dso,10.0,8.0,Beta,0.0,0.0,0.0,0.0
2,2010-02-11,1047,S18E43,170.0,10.0,Axx,1.0,1.0,Alpha,0.0,0.0,0.0,0.0
0,2010-02-12,1045,N22W52,252.0,150.0,Fsi,17.0,11.0,Beta,1.0,0.0,0.0,0.0
1,2010-02-12,1046,N23E15,185.0,190.0,Eac,12.0,33.0,Beta-Gamma,1.0,1.0,0.0,0.0
