,Date,NOAA No,Location,Lo,Area,Zpc,LL,NN,Mag,N_Bflare,N_Cflare,N_Mflare,N_Xflare
0,2016-01-01,2473,S21W60,334.0,130.0,Cao,15.0,8.0,Beta,0.0,0.0,0.0,0.0
0,2016-01-02,2473,S21W73,334.0,110.0,Eso,12.0,8.0,Beta,2.0,3.0,1.0,0.0
1,2016-01-02,2476,S11E61,200.0,10.0,Axx,1.0,1.0,Alpha,0.0,0.0,0.0,0.0
2,2016-01-02,2477,N12E75,186.0,20.0,Hsx,2.0,1.0,Alpha,1.0,0.0,0.0,0.0
0,2016-01-03,2473,S21W89,337.0,40.0,Cao,7.0,3.0,Beta,0.0,0.0,0.0,0.0
1,2016-01-03,2476,S10E47,201.0,20.0,Cro,4.0,6.0,Beta,0.0,0.0,0.0,0.0
2,2016-01-03,2477,N12E61,187.0,70.0,Hsx,3.0,1.0,Alpha,0.0,0.0,0.0,0.0
3,2016-01-03,2478,N07E53,195.0,10.0,Bxo,2.0,2.0,Beta,0.0,0.0,0.0,0.0
0,2016-01-04,2476,S10E34,201.0,80.0,Dai,7.0,16.0,Beta,1.0,0.0,0.0,0.0
1,2016-01-04,2477,N12E47,188.0,70.0,Hsx,2.0,1.0,Alpha,0.0,0.0,0.0,0.0
2,2016-01-04,2478,N07E38,197.0,20.0,Cro,2.0,3.0,Beta,0.0,0.0,0.0,0.0
0,2016-01-05,2476,S10E20,202.0,70.0,Dao,6.0,12.0,Beta,0.0,0.0,0.0,0.0
1,2016-01-05,2477,N12E33,189.0,70.0,Hsx,2.0,1.0,Alpha,0.0,0.0,0.0,0.0
2,2016-01-05,2478,N07E24,198.0,10.0,Bxo,3.0,3.0,Beta,0.0,0.0,0.0,0.0
3,2016-01-05,2479,N11E05,217.0,10.0,Bxo,3.0,4.0,Beta,1.0,0.0,0.0,0.0
0,2016-01-06,2476,S10E06,202.0,30.0,Cro,6.0,8.0,Beta,1.0,0.0,0.0,0.0
1,2016-01-06,2477,N12E19,189.0,70.0,Hsx,2.0,1.0,Alpha,0.0,0.0,0.0,0.0
0,2016-01-07,2476,S09W08,203.0,10.0,Bxo,4.0,3.0,Beta,1.0,0.0,0.0,0.0
1,2016-01-07,2477,N12E05,190.0,70.0,Hsx,2.0,1.0,Alpha,0.0,0.0,0.0,0.0
2,2016-01-07,2480,N04E74,121.0,80.0,Cao,5.0,4.0,Beta,5.0,1.0,0.0,0.0
0,2016-01-08,2476,S09W22,204.0,10.0,Axx,1.0,2.0,Alpha,0.0,0.0,0.0,0.0
1,2016-01-08,2477,N12W09,191.0,60.0,Hax,2.0,1.0,Alpha,0.0,0.0,0.0,0.0
2,2016-01-08,2480,N03E58,124.0,180.0,Dao,10.0,6.0,Beta,4.0,1.0,0.0,0.0
3,2016-01-08,2481,S18W55,237.0,50.0,Dao,4.0,8.0,Beta,0.0,0.0,0.0,0.0
0,2016-01-09,2477,N12W21,190.0,50.0,Hax,2.0,1.0,Alpha,0.0,0.0,0.0,0.0
1,2016-01-09,2478,N07W28,197.0,10.0,Bxo,2.0,3.0,Beta,0.0,0.0,0.0,0.0
2,2016-01-09,2480,N03E43,126.0,180.0,Dao,10.0,6.0,Beta,0.0,0.0,0.0,0.0
3,2016-01-09,2481,S18W69,238.0,80.0,Dao,4.0,5.0,Beta,2.0,0.0,0.0,0.0
4,2016-01-09,2482,N03W10,178.0,10.0,Bxo,3.0,2.0,Beta,1.0,0.0,0.0,0.0
5,2016-01-09,2483,N16E44,125.0,10.0,Bxo,3.0,3.0,Beta,0.0,0.0,0.0,0.0
0,2016-01-10,2477,N11W33,189.0,40.0,Hax,2.0,2.0,Alpha,0.0,0.0,0.0,0.0
1,2016-01-10,2478,N06W40,196.0,10.0,Bxo,4.0,3.0,Beta,0.0,0.0,0.0,0.0
2,2016-01-10,2480,N03E32,124.0,180.0,Dao,10.0,7.0,Beta,0.0,0.0,0.0,0.0
3,2016-01-10,2481,S19W81,237.0,120.0,Dao,7.0,3.0,Beta,0.0,0.0,0.0,0.0
4,2016-01-10,2482,N02W23,179.0,10.0,Bxo,3.0,4.0,Beta,0.0,0.0,0.0,0.0
5,2016-01-10,2483,N17E30,126.0,30.0,Cso,6.0,5.0,Beta,0.0,0.0,0.0,0.0
0,2016-01-11,2477,N12W45,187.0,10.0,Hsx,1.0,2.0,Alpha,0.0,0.0,0.0,0.0
1,2016-01-11,2480,N02E17,125.0,190.0,Eso,11.0,7.0,Beta,0.0,0.0,0.0,0.0
2,2016-01-11,2482,N02W36,178.0,10.0,Bxo,3.0,3.0,Beta,0.0,0.0,0.0,0.0
3,2016-01-11,2483,N17E17,125.0,50.0,Dao,6.0,8.0,Beta,1.0,0.0,0.0,0.0
4,2016-01-11,2484,N05E48,94.0,10.0,Bxo,2.0,3.0,Beta,0.0,0.0,0.0,0.0
0,2016-01-12,2477,N12W59,187.0,0.0,Axx,0.0,1.0,Alpha,0.0,0.0,0.0,0.0
1,2016-01-12,2480,N03E05,123.0,170.0,Eso,11.0,3.0,Beta,2.0,0.0,0.0,0.0
2,2016-01-12,2483,N17E03,125.0,180.0,Dao,7.0,7.0,Beta,0.0,0.0,0.0,0.0
0,2016-01-13,2480,N03W08,123.0,150.0,Cso,9.0,4.0,Beta,3.0,0.0,0.0,0.0
1,2016-01-13,2483,N17W09,124.0,130.0,Dao,8.0,5.0,Beta,1.0,0.0,0.0,0.0
0,2016-01-14,2480,N03W23,126.0,140.0,Cso,6.0,3.0,Beta,2.0,0.0,0.0,0.0
1,2016-01-14,2483,N18W22,125.0,140.0,Dao,8.0,3.0,Beta,3.0,0.0,0.0,0.0
0,2016-01-15,2480,N03W39,128.0,140.0,Hax,4.0,2.0,Alpha,1.0,0.0,0.0,0.0
1,2016-01-15,2483,N18W35,124.0,90.0,Cao,7.0,2.0,Beta,0.0,0.0,0.0,0.0
2,2016-01-15,2485,N13E60,29.0,30.0,Cro,4.0,2.0,Beta,0.0,0.0,0.0,0.0
0,2016-01-16,2480,N04W52,129.0,130.0,Hsx,5.0,2.0,Alpha,5.0,4.0,0.0,0.0
1,2016-01-16,2483,N17W49,126.0,90.0,Hsx,2.0,1.0,Alpha,0.0,0.0,0.0,0.0
2,2016-01-16,2485,N13E46,31.0,30.0,Dro,6.0,5.0,Beta,0.0,0.0,0.0,0.0
0,2016-01-17,2480,N03W66,130.0,130.0,Hsx,2.0,1.0,Alpha,7.0,0.0,0.0,0.0
1,2016-01-17,2483,N17W65,129.0,60.0,Hsx,2.0,1.0,Alpha,0.0,0.0,0.0,0.0
2,2016-01-17,2485,N13E34,30.0,20.0,Cro,5.0,6.0,Beta,0.0,0.0,0.0,0.0
0,2016-01-18,2480,N03W79,129.0,140.0,Hsx,3.0,1.0,Alpha,0.0,0.0,0.0,0.0
1,2016-01-18,2483,N17W78,128.0,70.0,Hax,2.0,1.0,Alpha,0.0,0.0,0.0,0.0
2,2016-01-18,2485,N14E21,29.0,10.0,Bxo,5.0,5.0,Beta,1.0,0.0,0.0,0.0
3,2016-01-18,2486,S20E67,343.0,40.0,Hax,1.0,1.0,Alpha,0.0,0.0,0.0,0.0
0,2016-01-19,2480,N03W94,131.0,140.0,Hsx,3.0,1.0,Alpha,0.0,0.0,0.0,0.0
1,2016-01-19,2483,N17W92,129.0,70.0,Hax,2.0,1.0,Alpha,0.0,0.0,0.0,0.0
2,2016-01-19,2485,N14E07,30.0,10.0,Axx,5.0,5.0,Alpha,1.0,0.0,0.0,0.0
3,2016-01-19,2486,S20E53,344.0,60.0,Hsx,1.0,1.0,Alpha,0.0,0.0,0.0,0.0
0,2016-01-20,2484,N07W84,108.0,20.0,Cro,3.0,5.0,Beta,0.0,0.0,0.0,0.0
1,2016-01-20,2485,N15W04,28.0,10.0,Axx,2.0,4.0,Alpha,1.0,0.0,0.0,0.0
2,2016-01-20,2486,S20E43,340.0,50.0,Hax,2.0,2.0,Alpha,0.0,0.0,0.0,0.0
3,2016-01-20,2487,S13E49,334.0,30.0,Cro,2.0,4.0,Beta,0.0,0.0,0.0,0.0
0,2016-01-21,2484,N08W83,94.0,30.0,Dro,5.0,6.0,Beta,4.0,1.0,0.0,0.0
