,Date,NOAA No,Location,Lo,Area,Zpc,LL,NN,Mag,N_Bflare,N_Cflare,N_Mflare,N_Xflare
1,2017-01-31,2630,N16E54,35.0,10.0,Axx,1.0,1.0,Alpha,0.0,0.0,0.0,0.0
2,2017-01-31,2631,S04W24,113.0,10.0,Bxo,2.0,3.0,Beta,0.0,0.0,0.0,0.0
0,2017-02-01,2629,N15W38,113.0,40.0,Hax,1.0,1.0,Alpha,0.0,0.0,0.0,0.0
1,2017-02-01,2631,S05W38,113.0,10.0,Bxo,4.0,5.0,Beta,0.0,0.0,0.0,0.0
2,2017-02-01,2632,N14W08,83.0,10.0,Bxo,4.0,6.0,Beta,0.0,0.0,0.0,0.0
0,2017-02-02,2629,N15W51,113.0,40.0,Hax,1.0,1.0,Alpha,0.0,0.0,0.0,0.0
1,2017-02-02,2632,N14W22,84.0,50.0,Dao,5.0,7.0,Beta,0.0,0.0,0.0,0.0
0,2017-02-03,2629,N16W65,114.0,40.0,Hax,1.0,1.0,Alpha,0.0,0.0,0.0,0.0
1,2017-02-03,2632,N14W36,85.0,60.0,Dao,7.0,6.0,Beta,0.0,0.0,0.0,0.0
2,2017-02-03,2633,N14W51,100.0,10.0,Bxo,2.0,3.0,Beta,0.0,0.0,0.0,0.0
0,2017-02-04,2629,N16W78,114.0,40.0,Hax,1.0,1.0,Alpha,0.0,0.0,0.0,0.0
1,2017-02-04,2632,N16W50,86.0,30.0,Cao,8.0,6.0,Beta,0.0,0.0,0.0,0.0
2,2017-02-04,2633,N15W64,100.0,10.0,Bxo,8.0,2.0,Beta,0.0,0.0,0.0,0.0
0,2017-02-05,2629,N16W92,115.0,30.0,Hax,1.0,1.0,Alpha,0.0,0.0,0.0,0.0
1,2017-02-05,2632,N16W64,87.0,10.0,Axx,1.0,1.0,Alpha,1.0,0.0,0.0,0.0
0,2017-02-06,2632,N14W76,86.0,10.0,Axx,1.0,1.0,Alpha,0.0,0.0,0.0,0.0
1,2017-02-06,2634,N02E70,300.0,10.0,Axx,0.0,1.0,Alpha,0.0,0.0,0.0,0.0
0,2017-02-07,2634,N05E56,300.0,10.0,Bxo,0.0,5.0,Beta,1.0,0.0,0.0,0.0
0,2017-02-08,2634,N03E44,299.0,10.0,Axx,0.0,1.0,Alpha,0.0,0.0,0.0,0.0
0,2017-02-09,None,,,,,,,,0.0,0.0,0.0,0.0
0,2017-02-10,2635,N13E13,303.0,70.0,Dao,5.0,5.0,Beta,11.0,3.0,0.0,0.0
0,2017-02-11,2635,N14W00,304.0,110.0,Dai,6.0,8.0,Beta,0.0,0.0,0.0,0.0
0,2017-02-12,2635,N12W15,304.0,90.0,Dai,5.0,7.0,Beta,0.0,0.0,0.0,0.0
0,2017-02-13,2635,N12W27,303.0,90.0,Dai,6.0,8.0,Beta,1.0,0.0,0.0,0.0
0,2017-02-14,2635,N12W40,304.0,60.0,Cso,7.0,6.0,Beta,1.0,0.0,0.0,0.0
0,2017-02-15,2635,N12W53,304.0,50.0,Cso,5.0,5.0,Beta,0.0,0.0,0.0,0.0
0,2017-02-16,2635,N13W66,304.0,20.0,Hrx,1.0,1.0,Alpha,0.0,0.0,0.0,0.0
1,2017-02-16,2636,N11E53,185.0,10.0,Axx,0.0,2.0,Alpha,2.0,0.0,0.0,0.0
0,2017-02-17,2635,N13W80,305.0,0.0,Axx,0.0,1.0,Alpha,0.0,0.0,0.0,0.0
1,2017-02-17,2636,N11E40,185.0,10.0,Hrx,1.0,2.0,Alpha,0.0,0.0,0.0,0.0
0,2017-02-18,2636,N11E27,185.0,20.0,Cro,3.0,4.0,Beta,2.0,0.0,0.0,0.0
0,2017-02-19,2636,N11E15,183.0,20.0,Bxo,2.0,3.0,Beta,0.0,0.0,0.0,0.0
0,2017-02-20,2636,N11E01,184.0,10.0,Axx,0.0,1.0,Alpha,0.0,0.0,0.0,0.0
1,2017-02-20,2637,S03E61,124.0,20.0,Axx,1.0,2.0,Alpha,0.0,0.0,0.0,0.0
0,2017-02-21,2637,S04E47,125.0,10.0,Axx,1.0,1.0,Alpha,0.0,0.0,0.0,0.0
1,2017-02-21,2638,N18E58,114.0,80.0,Dao,10.0,4.0,Beta,4.0,0.0,0.0,0.0
0,2017-02-22,2638,N18E49,110.0,140.0,Dso,10.0,9.0,Beta,6.0,0.0,0.0,0.0
0,2017-02-23,2638,N19E35,111.0,150.0,Dso,10.0,7.0,Beta,2.0,1.0,0.0,0.0
0,2017-02-24,2638,N18E20,113.0,150.0,Cso,10.0,8.0,Beta-Gamma,4.0,1.0,0.0,0.0
0,2017-02-25,2638,N18E08,111.0,120.0,Cso,6.0,5.0,Beta,0.0,1.0,0.0,0.0
1,2017-02-25,2639,S09W34,153.0,20.0,Hrx,2.0,2.0,Alpha,0.0,0.0,0.0,0.0
0,2017-02-26,2638,N18W03,109.0,100.0,Cso,5.0,2.0,Beta,0.0,0.0,0.0,0.0
1,2017-02-26,2639,S08W48,154.0,20.0,Cro,2.0,3.0,Beta,0.0,0.0,0.0,0.0
0,2017-02-27,2638,N18W16,109.0,100.0,Hsx,2.0,1.0,Alpha,0.0,0.0,0.0,0.0
1,2017-02-27,2639,S08W61,154.0,10.0,Bxo,2.0,2.0,Beta,0.0,0.0,0.0,0.0
2,2017-02-27,2640,N11E24,69.0,10.0,Bxo,2.0,2.0,Beta,1.0,0.0,0.0,0.0
0,2017-02-28,2638,N16W29,109.0,90.0,Hsx,2.0,1.0,Alpha,0.0,0.0,0.0,0.0
1,2017-02-28,2640,N09E11,69.0,20.0,Bxo,4.0,4.0,Beta,1.0,0.0,0.0,0.0
2,2017-02-28,2641,N15E46,34.0,40.0,Cro,5.0,5.0,Beta,3.0,0.0,0.0,0.0
0,2017-03-01,2638,N16W43,110.0,80.0,Hsx,2.0,1.0,Alpha,0.0,0.0,0.0,0.0
1,2017-03-01,2640,N08W04,71.0,30.0,Axx,4.0,2.0,Alpha,0.0,0.0,0.0,0.0
2,2017-03-01,2641,N15E26,41.0,100.0,Cao,11.0,6.0,Beta,3.0,0.0,0.0,0.0
0,2017-03-02,2638,N16W55,109.0,80.0,Hsx,1.0,1.0,Alpha,0.0,0.0,0.0,0.0
1,2017-03-02,2640,N09W18,72.0,10.0,Axx,4.0,2.0,Alpha,0.0,0.0,0.0,0.0
2,2017-03-02,2641,N14E19,35.0,60.0,Dro,5.0,7.0,Beta,5.0,0.0,0.0,0.0
3,2017-03-02,2642,N14E11,43.0,40.0,Cro,5.0,5.0,Beta,0.0,0.0,0.0,0.0
0,2017-03-03,2638,N16W69,109.0,80.0,Hsx,1.0,1.0,Alpha,0.0,0.0,0.0,0.0
1,2017-03-03,2640,N08W33,73.0,10.0,Axx,0.0,1.0,Alpha,0.0,0.0,0.0,0.0
2,2017-03-03,2641,N15E04,36.0,30.0,Bxo,5.0,7.0,Beta,1.0,0.0,0.0,0.0
3,2017-03-03,2642,N15W03,43.0,20.0,Bxo,5.0,3.0,Beta,0.0,0.0,0.0,0.0
0,2017-03-04,2638,N16W83,110.0,80.0,Hsx,1.0,1.0,Alpha,0.0,0.0,0.0,0.0
1,2017-03-04,2641,N15W10,37.0,10.0,Bxo,4.0,3.0,Beta,1.0,0.0,0.0,0.0
2,2017-03-04,2642,N15W17,44.0,10.0,Bxo,5.0,2.0,Beta,0.0,0.0,0.0,0.0
0,2017-03-05,None,,,,,,,,0.0,0.0,0.0,0.0
0,2017-03-06,2641,N15W38,39.0,10.0,Axx,1.0,1.0,Alpha,0.0,0.0,0.0,0.0
0,2017-03-07,None,,,,,,,,0.0,0.0,0.0,0.0
0,2017-03-08,None,,,,,,,,0.0,0.0,0.0,0.0
0,2017-03-09,None,,,,,,,,0.0,0.0,0.0,0.0
0,2017-03-10,None,,,,,,,,0.0,0.0,0.0,0.0
0,2017-03-11,None,,,,,,,,0.0,0.0,0.0,0.0
0,2017-03-12,None,,,,,,,,0.0,0.0,0.0,0.0
0,2017-03-13,None,,,,,,,,0.0,0.0,0.0,0.0
0,2017-03-14,None,,,,,,,,0.0,0.0,0.0,0.0
0,2017-03-15,None,,,,,,,,0.0,0.0,0.0,0.0
0,2017-03-16,None,,,,,,,,0.0,0.0,0.0,0.0
0,2017-03-17,None,,,,,,,,0.0,0.0,0.0,0.0
0,2017-03-18,None,,,,,,,,0.0,0.0,0.0,0.0
0,2017-03-19,None,,,,,,,,0.0,0.0,0.0,0.0
0,2017-03-20,None,,,,,,,,0.0,0.0,0.0,0.0
0,2017-03-21,None,,,,,,,,0.0,0.0,0.0,0.0
0,2017-03-22,2643,N09E72,78.0,20.0,Hrx,1.0,1.0,Alpha,0.0,0.0,0.0,0.0
0,2017-03-23,2643,N08E56,81.0,30.0,Hsx,1.0,2.0,Alpha,1.0,0.0,0.0,0.0
0,2017-03-24,2643,N08E42,81.0,20.0,Hrx,2.0,2.0,Alpha,0.0,0.0,0.0,0.0
0,2017-03-25,2643,N08E29,81.0,10.0,Hrx,1.0,2.0,Alpha,0.0,0.0,0.0,0.0
0,2017-03-26,2643,N08E16,81.0,10.0,Axx,1.0,1.0,Alpha,0.0,0.0,0.0,0.0
0,2017-03-27,2644,N12E30,54.0,50.0,Dao,6.0,10.0,Beta,9.0,1.0,0.0,0.0
0,2017-03-28,2644,N13E17,54.0,150.0,Dai,8.0,15.0,Beta-Gamma,3.0,0.0,0.0,0.0
1,2017-03-28,2645,S09E59,12.0,30.0,Cso,4.0,3.0,Beta,2.0,3.0,0.0,0.0
2,2017-03-28,2646,N06W60,131.0,20.0,Hrx,1.0,1.0,Alpha,0.0,0.0,0.0,0.0
0,2017-03-29,2644,N12E04,54.0,240.0,Dsi,10.0,12.0,Beta,2.0,1.0,0.0,0.0
1,2017-03-29,2645,S09E44,14.0,70.0,Dai,7.0,8.0,Beta-Gamma,6.0,4.0,0.0,0.0
2,2017-03-29,2646,N07W74,132.0,10.0,Axx,1.0,1.0,Alpha,2.0,0.0,0.0,0.0
0,2017-03-30,2644,N12W09,53.0,220.0,Eso,11.0,10.0,Beta,2.0,0.0,0.0,0.0
1,2017-03-30,2645,S10E29,15.0,180.0,Dsi,9.0,12.0,Beta,3.0,0.0,0.0,0.0
2,2017-03-30,2646,N06W83,127.0,0.0,Axx,0.0,1.0,Alpha,1.0,0.0,0.0,0.0
0,2017-03-31,2644,N12W23,54.0,190.0,Eso,12.0,3.0,Beta,2.0,0.0,0.0,0.0
1,2017-03-31,2645,S10E16,15.0,260.0,Dki,10.0,10.0,Beta,2.0,0.0,0.0,0.0
0,2017-04-01,2644,N12W37,55.0,190.0,Eao,11.0,4.0,Beta,4.0,0.0,0.0,0.0
1,2017-04-01,2645,S10E01,17.0,380.0,Ekc,12.0,29.0,Beta-Gamma,2.0,2.0,0.0,0.0
2,2017-04-01,2647,N11E01,17.0,10.0,Bxo,2.0,2.0,Beta,0.0,0.0,0.0,0.0
0,2017-04-02,2644,N12W52,57.0,200.0,Eao,12.0,8.0,Beta,2.0,1.0,1.0,0.0
1,2017-04-02,2645,S11W13,17.0,520.0,Ekc,12.0,25.0,Beta-Gamma,3.0,1.0,0.0,0.0
2,2017-04-02,2647,N11W13,18.0,10.0,Bxo,3.0,4.0,Beta,1.0,0.0,0.0,0.0
3,2017-04-02,2648,S03E72,293.0,10.0,Bxo,3.0,2.0,Beta,0.0,0.0,0.0,0.0
0,2017-04-03,2644,N12W65,57.0,450.0,Fkc,17.0,19.0,Beta-Gamma,1.0,4.0,4.0,0.0
1,2017-04-03,2645,S10W26,18.0,600.0,Ehc,14.0,23.0,Beta-Gamma-Delta,0.0,3.0,0.0,0.0
2,2017-04-03,2648,S03E61,291.0,20.0,Cro,5.0,3.0,Beta,0.0,0.0,0.0,0.0
0,2017-04-04,2644,N13W79,57.0,520.0,Fkc,18.0,12.0,Beta-Gamma-Delta,0.0,7.0,2.0,0.0
1,2017-04-04,2645,S10W40,18.0,700.0,Ekc,15.0,35.0,Beta-Gamma-Delta,0.0,6.0,0.0,0.0
2,2017-04-04,2648,S03E50,288.0,30.0,Dro,7.0,6.0,Beta,0.0,0.0,0.0,0.0
3,2017-04-04,2649,N15W58,36.0,20.0,Cro,4.0,4.0,Beta,0.0,0.0,0.0,0.0
0,2017-04-05,2644,N13W92,57.0,150.0,Eao,13.0,7.0,Beta,0.0,6.0,0.0,0.0
1,2017-04-05,2645,S10W53,18.0,680.0,Ekc,15.0,16.0,Beta-Gamma-Delta,0.0,5.0,0.0,0.0
2,2017-04-05,2648,S03E37,288.0,30.0,Cro,8.0,8.0,Beta,0.0,1.0,0.0,0.0
3,2017-04-05,2649,N14W70,35.0,30.0,Cro,5.0,4.0,Beta,0.0,0.0,0.0,0.0
0,2017-04-06,2645,S10W67,18.0,500.0,Fkc,16.0,12.0,Beta-Gamma-Delta,1.0,2.0,0.0,0.0
1,2017-04-06,2648,S02E22,288.0,50.0,Bxo,7.0,5.0,Beta,0.0,0.0,0.0,0.0
0,2017-04-07,2645,S10W79,18.0,380.0,Ekc,15.0,14.0,Beta-Gamma,6.0,2.0,0.0,0.0
1,2017-04-07,2648,S03E07,292.0,20.0,Bxo,4.0,4.0,Beta,0.0,0.0,0.0,0.0
0,2017-04-08,2645,S09W91,17.0,70.0,Cao,6.0,5.0,Beta,2.0,2.0,0.0,0.0
1,2017-04-08,2648,S03W04,290.0,0.0,Axx,3.0,2.0,Alpha,0.0,0.0,0.0,0.0
0,2017-04-09,None,,,,,,,,0.0,0.0,0.0,0.0
0,2017-04-10,2650,N08E71,188.0,20.0,Cro,4.0,3.0,Beta,0.0,0.0,0.0,0.0
0,2017-04-11,2650,N09E56,190.0,40.0,Cao,6.0,3.0,Beta,5.0,0.0,0.0,0.0
0,2017-04-12,2650,N11E40,193.0,40.0,Cao,6.0,2.0,Beta,5.0,0.0,0.0,0.0
0,2017-04-13,2650,N10E27,193.0,20.0,Cso,7.0,3.0,Beta,1.0,0.0,0.0,0.0
0,2017-04-14,2650,N08E14,192.0,20.0,Cso,7.0,2.0,Beta,0.0,0.0,0.0,0.0
0,2017-04-15,2650,N08W02,194.0,10.0,Hrx,0.0,1.0,Alpha,0.0,0.0,0.0,0.0
0,2017-04-16,2650,N08W16,196.0,10.0,Axx,1.0,1.0,Alpha,0.0,0.0,0.0,0.0
0,2017-04-17,None,,,,,,,,0.0,0.0,0.0,0.0
0,2017-04-18,None,,,,,,,,0.0,0.0,0.0,0.0
0,2017-04-19,2651,N12E67,72.0,20.0,Dso,1.0,2.0,Beta-Gamma,5.0,2.0,0.0,0.0
0,2017-04-20,2651,N13E57,69.0,110.0,Dao,5.0,4.0,Beta,4.0,0.0,0.0,0.0
0,2017-04-21,2651,N12E44,70.0,130.0,Dao,5.0,5.0,Beta,3.0,0.0,0.0,0.0
1,2017-04-21,2652,N13E60,54.0,10.0,Hrx,1.0,1.0,Alpha,0.0,0.0,0.0,0.0
0,2017-04-22,2651,N12E30,71.0,130.0,Cao,5.0,7.0,Beta,5.0,0.0,0.0,0.0
1,2017-04-22,2652,N13E45,56.0,10.0,Hrx,1.0,1.0,Alpha,0.0,0.0,0.0,0.0
2,2017-04-22,2653,S09E76,25.0,40.0,Hax,2.0,1.0,Alpha,0.0,0.0,0.0,0.0
