,Date,NOAA No,Location,Lo,Area,Zpc,LL,NN,Mag,N_Bflare,N_Cflare,N_Mflare,N_Xflare
0,2018-01-01,None,,,,,,,,0.0,0.0,0.0,0.0
0,2018-01-02,None,,,,,,,,0.0,0.0,0.0,0.0
0,2018-01-03,None,,,,,,,,0.0,0.0,0.0,0.0
0,2018-01-04,None,,,,,,,,0.0,0.0,0.0,0.0
0,2018-01-05,2693,N18W40,333.0,20.0,Cro,3.0,3.0,Beta,0.0,0.0,0.0,0.0
0,2018-01-06,2693,N19W52,332.0,10.0,Axx,1.0,1.0,Alpha,0.0,0.0,0.0,0.0
0,2018-01-07,2693,N19W65,332.0,10.0,Axx,1.0,1.0,Alpha,0.0,0.0,0.0,0.0
0,2018-01-08,2693,N20W78,332.0,10.0,Axx,1.0,1.0,Alpha,0.0,0.0,0.0,0.0
0,2018-01-09,2694,S32W03,244.0,10.0,Bxo,3.0,3.0,Beta,0.0,0.0,0.0,0.0
0,2018-01-10,2694,S32W17,245.0,10.0,Axx,3.0,3.0,Alpha,0.0,0.0,0.0,0.0
0,2018-01-11,2694,S32W30,244.0,10.0,Axx,1.0,1.0,Alpha,0.0,0.0,0.0,0.0
0,2018-01-12,2695,S08W59,260.0,10.0,Bxo,2.0,2.0,Beta,0.0,0.0,0.0,0.0
0,2018-01-13,None,,,,,,,,0.0,0.0,0.0,0.0
0,2018-01-14,None,,,,,,,,0.0,0.0,0.0,0.0
0,2018-01-15,None,,,,,,,,0.0,0.0,0.0,0.0
0,2018-01-16,2696,S11E25,123.0,20.0,Bxo,2.0,2.0,Beta,0.0,0.0,0.0,0.0
0,2018-01-17,2696,S13E12,123.0,30.0,Cro,2.0,3.0,Beta,0.0,0.0,0.0,0.0
0,2018-01-18,2696,S13W02,124.0,20.0,Bxo,2.0,2.0,Beta,0.0,0.0,0.0,0.0
0,2018-01-19,2696,S12W15,124.0,10.0,Bxo,2.0,2.0,Beta,3.0,0.0,0.0,0.0
0,2018-01-20,2696,S12W29,124.0,10.0,Axx,1.0,1.0,Alpha,0.0,0.0,0.0,0.0
0,2018-01-21,None,,,,,,,,0.0,0.0,0.0,0.0
0,2018-01-22,None,,,,,,,,0.0,0.0,0.0,0.0
0,2018-01-23,None,,,,,,,,0.0,0.0,0.0,0.0
0,2018-01-24,None,,,,,,,,0.0,0.0,0.0,0.0
0,2018-01-25,None,,,,,,,,0.0,0.0,0.0,0.0
0,2018-01-26,None,,,,,,,,0.0,0.0,0.0,0.0
0,2018-01-27,None,,,,,,,,0.0,0.0,0.0,0.0
0,2018-01-28,None,,,,,,,,0.0,0.0,0.0,0.0
0,2018-01-29,None,,,,,,,,0.0,0.0,0.0,0.0
0,2018-01-30,None,,,,,,,,0.0,0.0,0.0,0.0
0,2018-01-31,2697,S10E48,263.0,10.0,Bxo,3.0,5.0,Beta,1.0,0.0,0.0,0.0
0,2018-02-01,2697,S09E33,265.0,0.0,Axx,3.0,3.0,Alpha,0.0,0.0,0.0,0.0
0,2018-02-02,None,,,,,,,,0.0,0.0,0.0,0.0
0,2018-02-03,2698,S03E77,194.0,10.0,Axx,2.0,1.0,Alpha,0.0,0.0,0.0,0.0
0,2018-02-04,None,,,,,,,,0.0,0.0,0.0,0.0
0,2018-02-05,2699,S04E74,171.0,80.0,Hsx,2.0,1.0,Alpha,6.0,1.0,0.0,0.0
0,2018-02-06,2699,S06E64,168.0,130.0,Cso,4.0,3.0,Beta,7.0,0.0,0.0,0.0
0,2018-02-07,2699,S08E51,168.0,160.0,Dso,9.0,7.0,Beta,9.0,1.0,0.0,0.0
0,2018-02-08,2699,S08E39,167.0,200.0,Dso,10.0,10.0,Beta-Gamma,4.0,2.0,0.0,0.0
0,2018-02-09,2699,S06E25,167.0,200.0,Dai,9.0,12.0,Beta-Gamma,7.0,0.0,0.0,0.0
0,2018-02-10,2699,S07E13,166.0,210.0,Dai,9.0,13.0,Beta,9.0,0.0,0.0,0.0
0,2018-02-11,2699,S07E01,165.0,240.0,Dai,10.0,25.0,Beta,4.0,1.0,0.0,0.0
0,2018-02-12,2699,S07W14,167.0,230.0,Dai,10.0,14.0,Beta,15.0,0.0,0.0,0.0
0,2018-02-13,2699,S07W29,169.0,230.0,Dai,10.0,16.0,Beta,3.0,1.0,0.0,0.0
0,2018-02-14,2699,S07W44,171.0,180.0,Dsi,10.0,10.0,Beta,0.0,0.0,0.0,0.0
0,2018-02-15,2699,S08W54,168.0,140.0,Dso,10.0,8.0,Beta,4.0,0.0,0.0,0.0
0,2018-02-16,2699,S08W68,168.0,100.0,Cao,11.0,5.0,Beta,5.0,0.0,0.0,0.0
0,2018-02-17,2699,S08W82,169.0,40.0,Hax,3.0,2.0,Alpha,1.0,0.0,0.0,0.0
0,2018-02-18,None,,,,,,,,0.0,0.0,0.0,0.0
0,2018-02-19,None,,,,,,,,0.0,0.0,0.0,0.0
0,2018-02-20,None,,,,,,,,0.0,0.0,0.0,0.0
0,2018-02-21,None,,,,,,,,0.0,0.0,0.0,0.0
0,2018-02-22,None,,,,,,,,0.0,0.0,0.0,0.0
0,2018-02-23,None,,,,,,,,0.0,0.0,0.0,0.0
