,Date,NOAA No,Location,Lo,Area,Zpc,LL,NN,Mag,N_Bflare,N_Cflare,N_Mflare,N_Xflare
0,2013-01-01,1636,N14W13,340,30,Dso,4,6,Beta,0.0,0.0,0.0,0.0
1,2013-01-01,1638,N13E17,308,90,Cao,2,3,Beta,0.0,0.0,0.0,0.0
2,2013-01-01,1639,S16E17,310,10,Cso,2,2,Beta,0.0,0.0,0.0,0.0
3,2013-01-01,1640,N28E06,320,80,Cao,8,11,Beta,2.0,0.0,0.0,0.0
4,2013-01-01,1641,N05E52,274,40,Cso,5,3,Beta,0.0,0.0,0.0,0.0
5,2013-01-01,1642,S24E71,255,50,Hax,2,2,Alpha,0.0,0.0,0.0,0.0
0,2013-01-02,1636,N14W27,340,10,Bxo,5,3,Beta,0.0,0.0,0.0,0.0
1,2013-01-02,1638,N13E06,308,140,Dao,4,8,Beta,0.0,0.0,0.0,0.0
2,2013-01-02,1639,S16E04,310,10,Axx,1,1,Alpha,0.0,0.0,0.0,0.0
3,2013-01-02,1640,N28W06,320,180,Dai,10,23,Beta,2.0,1.0,0.0,0.0
4,2013-01-02,1641,N05E39,275,50,Cao,6,3,Beta,0.0,0.0,0.0,0.0
5,2013-01-02,1642,S23E62,252,90,Hsx,2,1,Alpha,0.0,0.0,0.0,0.0
0,2013-01-03,1638,N13W07,308,110,Cao,3,4,Beta,0.0,0.0,0.0,0.0
1,2013-01-03,1640,N28W21,320,220,Eai,12,18,Beta,0.0,0.0,0.0,0.0
2,2013-01-03,1641,N05E23,278,50,Cso,6,3,Beta,0.0,0.0,0.0,0.0
3,2013-01-03,1642,S23E48,253,140,Hsx,2,1,Alpha,0.0,0.0,0.0,0.0
4,2013-01-03,1643,S14E45,256,10,Bxo,4,2,Beta,1.0,0.0,0.0,0.0
5,2013-01-03,1644,N15E66,235,80,Eso,12,2,Beta,0.0,0.0,0.0,0.0
0,2013-01-04,1638,N13W21,309,100,Hsx,3,2,Alpha,0.0,0.0,0.0,0.0
1,2013-01-04,1640,N28W35,323,240,Eai,13,28,Beta-Gamma-Delta,2.0,1.0,0.0,0.0
2,2013-01-04,1641,N05E07,281,50,Hsx,1,1,Alpha,0.0,0.0,0.0,0.0
3,2013-01-04,1642,S24E34,254,80,Hsx,2,1,Alpha,0.0,0.0,0.0,0.0
4,2013-01-04,1644,N14E48,240,60,Hsx,1,2,Alpha,1.0,0.0,0.0,0.0
5,2013-01-04,1645,S13W05,293,30,Dro,4,11,Beta,0.0,0.0,0.0,0.0
6,2013-01-04,1646,N13E57,231,80,Hsx,1,1,Alpha,0.0,0.0,0.0,0.0
0,2013-01-05,1638,N13W34,308,80,Hsx,2,1,Alpha,0.0,0.0,0.0,0.0
1,2013-01-05,1640,N28W48,322,320,Eki,13,24,Beta-Gamma-Delta,1.0,1.0,0.0,0.0
2,2013-01-05,1641,N04W05,279,40,Cao,8,2,Beta,0.0,0.0,0.0,0.0
3,2013-01-05,1642,S24E22,252,100,Hsx,2,1,Alpha,0.0,0.0,0.0,0.0
4,2013-01-05,1644,N15E35,239,40,Hsx,2,1,Alpha,0.0,0.0,0.0,0.0
5,2013-01-05,1645,S13W18,292,50,Dao,5,8,Beta,0.0,0.0,0.0,0.0
6,2013-01-05,1646,N14E45,229,30,Hax,1,1,Alpha,0.0,0.0,0.0,0.0
7,2013-01-05,1647,N16W55,329,30,Cao,5,4,Beta,0.0,0.0,0.0,0.0
8,2013-01-05,1648,N05E53,221,20,Cro,3,2,Beta,0.0,0.0,0.0,0.0
9,2013-01-05,1649,S14E74,200,60,Hsx,2,1,Alpha,0.0,0.0,0.0,0.0
10,2013-01-05,1650,S26E77,197,50,Hsx,2,1,Alpha,0.0,1.0,0.0,0.0
11,2013-01-05,1651,N19E48,225,10,Axx,1,1,Alpha,0.0,0.0,0.0,0.0
0,2013-01-06,1638,N13W48,309,40,Hsx,2,1,Alpha,0.0,0.0,0.0,0.0
1,2013-01-06,1640,N28W62,323,330,Eki,13,11,Beta-Gamma-Delta,0.0,0.0,0.0,0.0
2,2013-01-06,1641,N04W20,281,40,Hsx,2,3,Alpha,0.0,0.0,0.0,0.0
3,2013-01-06,1642,S24E10,251,80,Hsx,3,1,Alpha,0.0,0.0,0.0,0.0
4,2013-01-06,1644,N15E20,241,50,Cso,4,4,Beta,0.0,0.0,0.0,0.0
5,2013-01-06,1645,S14W32,293,30,Cso,8,5,Beta,0.0,1.0,0.0,0.0
6,2013-01-06,1646,N14E31,230,30,Hsx,2,1,Alpha,0.0,0.0,0.0,0.0
7,2013-01-06,1647,N15W69,330,30,Cao,6,3,Beta,0.0,0.0,0.0,0.0
8,2013-01-06,1648,N05E40,221,40,Cao,7,3,Beta,0.0,0.0,0.0,0.0
9,2013-01-06,1649,S15E60,201,80,Hsx,2,1,Alpha,0.0,0.0,0.0,0.0
10,2013-01-06,1650,S28E63,198,190,Eao,11,5,Beta,0.0,4.0,0.0,0.0
11,2013-01-06,1651,N20E35,226,10,Axx,1,1,Alpha,0.0,0.0,0.0,0.0
12,2013-01-06,1652,N20E74,187,60,Hsx,3,1,Alpha,0.0,1.0,1.0,0.0
13,2013-01-06,1653,N09E78,183,20,Hrx,5,1,Alpha,0.0,1.0,0.0,0.0
0,2013-01-07,1638,N13W61,309,50,Hsx,2,1,Alpha,0.0,0.0,0.0,0.0
1,2013-01-07,1640,N28W75,323,360,Eho,13,4,Beta,0.0,0.0,0.0,0.0
2,2013-01-07,1641,N02W33,281,30,Hsx,1,1,Alpha,0.0,0.0,0.0,0.0
3,2013-01-07,1642,S25W04,252,90,Hsx,2,1,Alpha,0.0,0.0,0.0,0.0
4,2013-01-07,1644,N15E09,239,40,Cso,4,3,Beta,0.0,0.0,0.0,0.0
5,2013-01-07,1645,S13W45,293,10,Bxo,4,4,Beta,0.0,0.0,0.0,0.0
6,2013-01-07,1646,N13E17,231,40,Hsx,1,1,Alpha,0.0,0.0,0.0,0.0
7,2013-01-07,1647,N16W81,329,20,Cro,7,3,Beta,0.0,0.0,0.0,0.0
8,2013-01-07,1648,N05E26,222,30,Cro,6,6,Beta,0.0,0.0,0.0,0.0
9,2013-01-07,1649,S15E46,202,70,Hsx,2,1,Alpha,0.0,0.0,0.0,0.0
10,2013-01-07,1650,S29E54,194,240,Eao,14,9,Beta,0.0,0.0,0.0,0.0
11,2013-01-07,1651,N20E23,225,10,Axx,1,1,Alpha,0.0,0.0,0.0,0.0
12,2013-01-07,1652,N20E61,187,120,Dao,8,8,Beta,0.0,1.0,0.0,0.0
13,2013-01-07,1653,N09E63,185,30,Cso,5,3,Beta,1.0,4.0,0.0,0.0
0,2013-01-08,1638,N13W74,308,80,Hsx,1,1,Alpha,0.0,1.0,0.0,0.0
1,2013-01-08,1640,N28W87,322,300,Eho,12,5,Beta,0.0,3.0,0.0,0.0
2,2013-01-08,1641,N02W48,280,10,Hrx,1,1,Alpha,0.0,0.0,0.0,0.0
3,2013-01-08,1642,S25W16,251,120,Hsx,2,1,Alpha,0.0,0.0,0.0,0.0
4,2013-01-08,1644,N15W06,240,60,Hsx,1,1,Alpha,0.0,0.0,0.0,0.0
5,2013-01-08,1645,S14W58,293,10,Bxo,3,2,Beta,0.0,1.0,0.0,0.0
6,2013-01-08,1646,N13E04,230,60,Hsx,1,1,Alpha,0.0,0.0,0.0,0.0
7,2013-01-08,1648,N05E10,224,10,Axx,1,1,Alpha,0.0,0.0,0.0,0.0
8,2013-01-08,1649,S16E32,202,140,Hsx,2,1,Alpha,0.0,0.0,0.0,0.0
9,2013-01-08,1650,S30E42,193,250,Eho,13,22,Beta,0.0,0.0,0.0,0.0
10,2013-01-08,1652,N17E50,184,320,Fkc,17,34,Beta-Gamma,0.0,0.0,0.0,0.0
11,2013-01-08,1653,N07E49,185,30,Cro,7,6,Beta,1.0,2.0,0.0,0.0
0,2013-01-09,1638,N13W87,307,60,Hsx,2,1,Alpha,0.0,0.0,0.0,0.0
1,2013-01-09,1642,S25W29,250,80,Hsx,2,1,Alpha,0.0,0.0,0.0,0.0
2,2013-01-09,1644,N15W19,239,40,Hax,2,1,Alpha,0.0,0.0,0.0,0.0
3,2013-01-09,1645,S14W72,292,30,Cro,5,5,Beta,0.0,0.0,0.0,0.0
4,2013-01-09,1646,N13W09,229,30,Hrx,2,3,Alpha,0.0,1.0,0.0,0.0
5,2013-01-09,1649,S15E18,202,80,Hsx,2,1,Alpha,0.0,0.0,0.0,0.0
6,2013-01-09,1650,S30E30,192,120,Eao,12,7,Beta,0.0,0.0,0.0,0.0
7,2013-01-09,1652,N19E38,183,210,Fac,17,19,Beta-Gamma,0.0,2.0,0.0,0.0
8,2013-01-09,1653,N09E35,185,30,Cro,6,4,Beta,0.0,1.0,0.0,0.0
9,2013-01-09,1654,N08E71,149,260,Hhx,5,2,Alpha,0.0,1.0,0.0,0.0
0,2013-01-10,1642,S25W41,249,50,Hsx,2,1,Alpha,0.0,0.0,0.0,0.0
1,2013-01-10,1644,N13W31,239,20,Hax,1,1,Alpha,0.0,0.0,0.0,0.0
2,2013-01-10,1645,S14W85,293,30,Cro,5,2,Beta,0.0,0.0,0.0,0.0
3,2013-01-10,1648,N05W14,222,10,Axx,4,3,Alpha,0.0,0.0,0.0,0.0
4,2013-01-10,1649,S15E05,202,70,Hsx,2,1,Alpha,0.0,0.0,0.0,0.0
5,2013-01-10,1650,S30E16,192,100,Eao,13,7,Beta,0.0,1.0,0.0,0.0
6,2013-01-10,1652,N19E25,183,200,Eac,13,18,Beta-Gamma,0.0,0.0,0.0,0.0
7,2013-01-10,1653,N09E21,186,20,Cso,3,2,Beta,0.0,0.0,0.0,0.0
8,2013-01-10,1654,N10E60,148,350,Eki,14,15,Beta,0.0,2.0,0.0,0.0
9,2013-01-10,1655,S22W02,210,10,Bxo,3,3,Beta,0.0,0.0,0.0,0.0
0,2013-01-11,1642,S24W56,250,60,Hsx,2,1,Alpha,0.0,0.0,0.0,0.0
1,2013-01-11,1644,N15W44,238,20,Hsx,1,1,Alpha,0.0,0.0,0.0,0.0
2,2013-01-11,1649,S15W07,201,60,Hsx,2,1,Alpha,0.0,0.0,0.0,0.0
3,2013-01-11,1650,S29E01,194,120,Eao,12,8,Beta,0.0,0.0,0.0,0.0
4,2013-01-11,1652,N20E11,183,230,Eac,13,29,Beta-Gamma,0.0,0.0,0.0,0.0
5,2013-01-11,1653,N11E06,188,10,Hsx,1,1,Alpha,0.0,0.0,0.0,0.0
6,2013-01-11,1654,N08E47,147,770,Fki,16,21,Beta-Gamma,0.0,10.0,0.0,0.0
7,2013-01-11,1655,S21W11,207,30,Cso,4,3,Beta,0.0,0.0,0.0,0.0
0,2013-01-12,1642,S25W70,252,110,Hsx,3,1,Alpha,0.0,0.0,0.0,0.0
1,2013-01-12,1644,N15W58,240,20,Hsx,1,1,Alpha,0.0,0.0,0.0,0.0
2,2013-01-12,1649,S16W21,203,60,Cao,3,3,Beta,0.0,0.0,0.0,0.0
3,2013-01-12,1650,S28W16,198,110,Cao,5,2,Beta,0.0,0.0,0.0,0.0
4,2013-01-12,1652,N19W00,182,210,Eai,13,16,Beta-Gamma,0.0,0.0,0.0,0.0
5,2013-01-12,1653,N09W08,190,10,Cao,0,2,Beta,0.0,0.0,0.0,0.0
6,2013-01-12,1654,N08E31,151,1100,Fki,17,36,Beta-Gamma,0.0,11.0,2.0,0.0
7,2013-01-12,1655,S21W24,206,10,Cro,5,2,Beta,0.0,0.0,0.0,0.0
8,2013-01-12,1656,N22E52,130,10,Axx,0,1,Alpha,0.0,0.0,0.0,0.0
9,2013-01-12,1657,S17E23,159,10,Cro,2,2,Beta,0.0,0.0,0.0,0.0
0,2013-01-13,1642,S25W84,253,110,Hsx,3,1,Alpha,0.0,0.0,0.0,0.0
1,2013-01-13,1644,N15W72,241,20,Hsx,1,1,Alpha,0.0,0.0,0.0,0.0
2,2013-01-13,1649,S16W35,204,60,Cao,3,3,Beta,0.0,0.0,0.0,0.0
3,2013-01-13,1650,S28W30,199,60,Cao,3,3,Beta,0.0,0.0,0.0,0.0
4,2013-01-13,1652,N19W14,183,210,Eai,13,16,Beta-Gamma,0.0,3.0,0.0,0.0
5,2013-01-13,1653,N09W21,190,10,Cao,1,2,Beta,0.0,0.0,0.0,0.0
6,2013-01-13,1654,N08E18,151,950,Fkc,17,31,Beta-Gamma,0.0,7.0,0.0,0.0
7,2013-01-13,1655,S21W37,206,10,Bxo,5,2,Beta,0.0,0.0,0.0,0.0
8,2013-01-13,1656,N22E39,130,30,Cro,7,7,Beta,0.0,0.0,0.0,0.0
0,2013-01-14,1649,S16W49,205,60,Cao,3,3,Beta,0.0,0.0,0.0,0.0
1,2013-01-14,1650,S28W44,200,60,Cao,3,3,Beta,0.0,0.0,0.0,0.0
2,2013-01-14,1652,N19W28,184,210,Cao,4,16,Beta-Gamma,0.0,6.0,2.0,0.0
3,2013-01-14,1654,N08E04,152,950,Fkc,17,31,Beta-Gamma,0.0,4.0,0.0,0.0
4,2013-01-14,1656,N22E25,131,30,Cro,7,7,Beta,0.0,0.0,0.0,0.0
5,2013-01-14,1658,S12E63,90,100,Cso,4,6,Beta,0.0,0.0,0.0,0.0
0,2013-01-15,1649,S15W62,204,30,Hax,5,2,Alpha,0.0,0.0,0.0,0.0
1,2013-01-15,1650,S30W52,194,50,Hax,1,1,Alpha,1.0,0.0,0.0,0.0
2,2013-01-15,1652,N18W44,186,160,Hax,2,5,Alpha,0.0,2.0,0.0,0.0
3,2013-01-15,1654,N08W05,147,920,Fkc,21,49,Beta-Gamma,1.0,2.0,0.0,0.0
4,2013-01-15,1656,N23E15,127,10,Bxo,7,4,Beta,0.0,0.0,0.0,0.0
5,2013-01-15,1658,S11E51,91,90,Cso,6,7,Beta,0.0,0.0,0.0,0.0
0,2013-01-16,1649,S16W75,203,20,Hrx,1,1,Alpha,0.0,0.0,0.0,0.0
1,2013-01-16,1650,S31W65,194,10,Axx,2,4,Alpha,0.0,2.0,0.0,0.0
2,2013-01-16,1652,N19W59,187,120,Cao,3,4,Beta,0.0,0.0,0.0,0.0
3,2013-01-16,1654,N06W19,147,990,Fkc,21,45,Beta-Gamma-Delta,0.0,3.0,0.0,0.0
4,2013-01-16,1656,N22W00,128,10,Axx,1,1,Alpha,0.0,0.0,0.0,0.0
5,2013-01-16,1658,S12E36,92,130,Cso,5,5,Beta,0.0,0.0,0.0,0.0
0,2013-01-17,1652,N19W72,188,90,Hax,2,2,Alpha,0.0,0.0,0.0,0.0
1,2013-01-17,1654,N06W33,149,590,Fkc,21,18,Beta-Gamma-Delta,1.0,0.0,0.0,0.0
2,2013-01-17,1656,N21W14,130,10,Axx,0,1,Alpha,0.0,0.0,0.0,0.0
3,2013-01-17,1658,S12E21,95,90,Hax,2,1,Alpha,0.0,0.0,0.0,0.0
0,2013-01-18,1652,N18W82,185,30,Hax,1,2,Alpha,0.0,0.0,0.0,0.0
1,2013-01-18,1654,N07W47,149,540,Fkc,20,27,Beta-Gamma,0.0,0.0,0.0,0.0
2,2013-01-18,1658,S13E08,94,70,Hax,2,2,Alpha,0.0,0.0,0.0,0.0
3,2013-01-18,1659,N04E53,50,10,Bxo,1,3,Beta,0.0,0.0,0.0,0.0
0,2013-01-19,1654,N07W59,148,460,Fko,22,18,Beta-Gamma,0.0,3.0,0.0,0.0
1,2013-01-19,1658,S12W05,94,90,Hsx,2,3,Alpha,0.0,0.0,0.0,0.0
2,2013-01-19,1659,N04E40,50,10,Bxo,3,5,Beta,1.0,0.0,0.0,0.0
0,2013-01-20,1654,N07W73,149,360,Fko,22,11,Beta-Gamma,3.0,1.0,0.0,0.0
1,2013-01-20,1658,S13W19,95,70,Hsx,2,1,Alpha,0.0,0.0,0.0,0.0
2,2013-01-20,1660,N11E12,64,50,Dso,4,4,Beta,0.0,1.0,0.0,0.0
0,2013-01-21,1654,N08W84,147,280,Fko,18,9,Beta-Gamma,4.0,1.0,0.0,0.0
1,2013-01-21,1658,S12W32,95,60,Hsx,2,1,Alpha,0.0,0.0,0.0,0.0
2,2013-01-21,1660,N13W02,65,70,Dao,5,8,Beta,0.0,0.0,0.0,0.0
0,2013-01-22,1654,N09W88,144,10,Bxo,3,4,Beta,0.0,0.0,0.0,0.0
1,2013-01-22,1658,S12W46,96,70,Hsx,2,1,Alpha,1.0,0.0,0.0,0.0
2,2013-01-22,1660,N12W15,65,100,Dai,7,15,Beta-Gamma,0.0,0.0,0.0,0.0
0,2013-01-23,1658,S12W60,96,60,Hsx,2,1,Alpha,0.0,0.0,0.0,0.0
1,2013-01-23,1660,N14W28,64,190,Dac,9,21,Beta-Gamma,2.0,0.0,0.0,0.0
2,2013-01-23,1661,N13E60,336,20,Hrx,0,1,Alpha,0.0,0.0,0.0,0.0
0,2013-01-24,1658,S12W73,96,60,Hsx,2,1,Alpha,0.0,0.0,0.0,0.0
1,2013-01-24,1660,N13W42,65,200,Dai,10,25,Beta-Gamma,1.0,0.0,0.0,0.0
2,2013-01-24,1661,N13E56,333,20,Cso,1,1,Beta,1.0,0.0,0.0,0.0
3,2013-01-24,1662,N26E64,319,60,Hsx,1,1,Alpha,0.0,0.0,0.0,0.0
0,2013-01-25,1658,S15W85,95,60,Hsx,2,1,Alpha,0.0,0.0,0.0,0.0
1,2013-01-25,1660,N10W56,66,180,Dao,10,16,Beta,0.0,0.0,0.0,0.0
2,2013-01-25,1661,N17E33,336,20,Dso,1,2,Beta,1.0,0.0,0.0,0.0
3,2013-01-25,1662,N33E54,316,60,Hsx,2,1,Alpha,0.0,0.0,0.0,0.0
0,2013-01-26,1660,N13W68,65,220,Dao,10,10,Beta,1.0,0.0,0.0,0.0
1,2013-01-26,1661,N15E20,337,30,Cro,3,3,Beta,3.0,0.0,0.0,0.0
2,2013-01-26,1662,N28E41,316,50,Hsx,2,1,Alpha,0.0,0.0,0.0,0.0
0,2013-01-27,1660,N13W81,65,100,Dao,10,6,Beta,1.0,0.0,0.0,0.0
1,2013-01-27,1661,N15E08,337,30,Cro,5,5,Beta,1.0,0.0,0.0,0.0
2,2013-01-27,1662,N28E28,317,50,Hsx,2,1,Alpha,0.0,0.0,0.0,0.0
3,2013-01-27,1663,S10E46,299,10,Bxo,3,3,Beta,0.0,0.0,0.0,0.0
0,2013-01-28,1661,N15W06,337,30,Cro,5,5,Beta,0.0,0.0,0.0,0.0
1,2013-01-28,1662,N28E14,317,50,Hsx,2,2,Alpha,0.0,0.0,0.0,0.0
2,2013-01-28,1663,S10E33,298,40,Dso,7,7,Beta,0.0,0.0,0.0,0.0
3,2013-01-28,1664,N29W52,23,30,Cro,5,6,Beta,0.0,0.0,0.0,0.0
0,2013-01-29,1661,N13W21,339,0,Axx,1,1,Alpha,0.0,0.0,0.0,0.0
1,2013-01-29,1662,N27E01,317,60,Hsx,1,1,Alpha,0.0,0.0,0.0,0.0
2,2013-01-29,1663,S11E19,298,80,Dso,8,8,Beta,0.0,0.0,0.0,0.0
3,2013-01-29,1664,N29W65,23,10,Bxo,4,2,Beta,0.0,0.0,0.0,0.0
0,2013-01-30,1662,N28W12,317,70,Hsx,2,1,Alpha,0.0,0.0,0.0,0.0
1,2013-01-30,1663,S11E05,299,120,Dso,9,9,Beta,0.0,0.0,0.0,0.0
2,2013-01-30,1664,N28W79,24,10,Bxo,1,1,Beta,0.0,0.0,0.0,0.0
3,2013-01-30,1665,N12E61,243,220,Hax,2,1,Alpha,0.0,0.0,0.0,0.0
4,2013-01-30,1666,S23E61,244,10,Axx,1,1,Alpha,0.0,0.0,0.0,0.0
0,2013-01-31,1662,N27W25,317,50,Hsx,1,1,Alpha,0.0,0.0,0.0,0.0
1,2013-01-31,1663,S09W11,302,80,Hsx,2,1,Alpha,0.0,0.0,0.0,0.0
2,2013-01-31,1665,N11E49,242,180,Dso,3,2,Beta,3.0,0.0,0.0,0.0
3,2013-01-31,1666,S24E48,244,10,Hsx,1,1,Alpha,0.0,0.0,0.0,0.0
0,2013-02-01,1662,N27W39,317,50,Hsx,1,1,Alpha,0.0,0.0,0.0,0.0
1,2013-02-01,1663,S09W24,302,50,Cso,4,2,Beta,2.0,1.0,0.0,0.0
2,2013-02-01,1665,N11E37,242,150,Hax,2,3,Alpha,0.0,0.0,0.0,0.0
3,2013-02-01,1666,S24E34,244,10,Hrx,1,1,Alpha,0.0,0.0,0.0,0.0
0,2013-02-02,1662,N27W51,317,60,Hsx,1,1,Alpha,0.0,0.0,0.0,0.0
1,2013-02-02,1663,S10W36,302,50,Hsx,6,6,Alpha,0.0,0.0,0.0,0.0
2,2013-02-02,1665,N12E23,242,120,Cao,4,4,Beta,2.0,0.0,0.0,0.0
3,2013-02-02,1666,S24E22,243,0,Hrx,0,1,Alpha,0.0,0.0,0.0,0.0
4,2013-02-02,1667,N24E62,204,30,Cao,2,3,Beta,0.0,0.0,0.0,0.0
0,2013-02-03,1662,N27W65,317,40,Hsx,2,1,Alpha,0.0,0.0,0.0,0.0
1,2013-02-03,1663,S09W52,303,30,Cao,5,2,Beta,0.0,0.0,0.0,0.0
2,2013-02-03,1665,N10E09,242,140,Cao,6,6,Beta,0.0,1.0,0.0,0.0
3,2013-02-03,1667,N23E49,202,140,Dao,9,5,Beta,1.0,1.0,0.0,0.0
