,Date,NOAA No,Location,Lo,Area,Zpc,LL,NN,Mag,N_Bflare,N_Cflare,N_Mflare,N_Xflare
0,2015-01-01,2246,N19W56,108,70,Hsx,1,1,Alpha,0.0,0.0,0.0,0.0
1,2015-01-01,2248,S19W29,81,60,Hsx,2,2,Alpha,0.0,0.0,0.0,0.0
2,2015-01-01,2251,S13E05,47,190,Dai,8,11,Beta,0.0,0.0,0.0,0.0
3,2015-01-01,2252,S20E24,28,100,Cao,3,2,Beta,0.0,0.0,0.0,0.0
4,2015-01-01,2253,S06E48,4,270,Eac,11,14,Beta-Gamma,0.0,0.0,0.0,0.0
5,2015-01-01,2254,S22E09,43,20,Cso,3,4,Beta,0.0,0.0,0.0,0.0
0,2015-01-02,2246,N19W69,108,50,Hsx,2,1,Alpha,0.0,0.0,0.0,0.0
1,2015-01-02,2248,S19W42,81,50,Hax,2,1,Alpha,0.0,0.0,0.0,0.0
2,2015-01-02,2251,S13W09,48,140,Dao,9,6,Beta-Gamma,0.0,0.0,0.0,0.0
3,2015-01-02,2252,S20E11,28,90,Hax,2,2,Alpha,0.0,0.0,0.0,0.0
4,2015-01-02,2253,S07E35,4,460,Ekc,11,16,Beta-Gamma,0.0,3.0,0.0,0.0
5,2015-01-02,2254,S22W05,44,20,Cro,4,4,Beta,0.0,0.0,0.0,0.0
6,2015-01-02,2255,S14E76,322,60,Hax,3,1,Alpha,0.0,0.0,0.0,0.0
0,2015-01-03,2246,N19W83,108,90,Hsx,2,1,Alpha,0.0,0.0,0.0,0.0
1,2015-01-03,2248,S19W55,80,50,Hax,1,1,Alpha,0.0,1.0,0.0,0.0
2,2015-01-03,2251,S12W21,47,160,Dso,9,5,Beta,0.0,0.0,0.0,0.0
3,2015-01-03,2252,S20W01,26,60,Hax,1,1,Alpha,0.0,0.0,0.0,0.0
4,2015-01-03,2253,S06E22,3,770,Ekc,12,22,Beta-Gamma-Delta,3.0,1.0,0.0,0.0
5,2015-01-03,2254,S22W21,46,10,Axx,0,1,Alpha,0.0,0.0,0.0,0.0
6,2015-01-03,2255,S14E63,322,90,Hsx,3,1,Alpha,0.0,0.0,0.0,0.0
7,2015-01-03,2256,S08W47,72,20,Cro,2,1,Beta,0.0,1.0,0.0,0.0
